Name,Author,CatID,PubID,TitleID,PlaceID,Pages,Press,Parts,Notes
 المؤتمر التربوي 27 - الخطط التعليمية وابعاد التنمية الشاملة,جمعية المعلمين الكويتية,159,1103,NULL,31,96,,NULL,
تربية الشباب في ضوء تحديات العصر,جمعية المعلمين الكويتية,159,1103,NULL,31,250,,NULL,
التعليم والتنمية بين الواقع والطموح,جمعية المعلمين الكويتية,159,1103,NULL,31,488,,0,
استراتيجية مستقبلية اولية لتطوير التربية في دولة الكويت حتى عام 2025,وزارة التربية,45,1113,NULL,31,98,,NULL,
تجربة نظام المقررات - دراسة ومتابعة وتقديم وتطوير,عبدالله اسماعيل العبدالله,71,1113,NULL,31,243,,NULL,
شباب الخليج والتحديات المعاصرة,جمعية الاصلاح الاجتماعي,186,1124,NULL,31,226,,NULL,
"اسواق الاوراق المالية العربية - تنظيمها، ادواتها، واوضاع التعامل فيها",المؤسسة العربية - سوق عمان المالي,14,1177,NULL,31,413,,NULL,
تقرير مناخ الاستثمار في الدول العربية لعام 1996,المؤسسة العربية لضمان الاستثمار,14,1177,NULL,31,293,,NULL,
الاستثمار - النظرية والتطبيق,د. محروس احمد حسن - د. رمضان علي الشراح,14,1180,NULL,31,290,,NULL,اهداء : د. محروس حسن
مستقبل الخليج العربي وستراتيجية العمل العربي المشترك- المجلد الاول,جامعة البصرة,186,1239,NULL,31,632,,3,المجلد الاول : وقائع وبحوث الندوة
مستقبل الخليج العربي وستراتيجية العمل العربي المشترك- المجلد الثاني,جامعة البصرة,186,1239,NULL,31,358,الاولى,3,
مستقبل الخليج العربي وستراتيجية العمل العربي المشترك- المجلد الثالث,جامعة البصرة,186,1239,NULL,31,519,الاولى,3,
بيان مجمع  البحوث الاسلامية بالازهر الشريف -,جامعة الازهر,159,1253,NULL,31,NULL,,NULL,بمناسبة انعقاد المؤتمر الدولي الرابع المعني بالمراة في بكين
الموسم الثقافي التربوي - العزوف عن القراءة بين الشباب الخليجي,المركز العربي للبحوث التربوية لدول الخليج,68,1256,NULL,31,190,,NULL,
ندوة التنمية بين التخطيط والتنفيذ في الوطن العربي - الجزءالاول,د. محمد توفيق صادق - د. حسن فهمي جمعة - د. سعدالدين ابراهيم,186,1262,NULL,31,NULL,,NULL,الجزء الاول - القضايا العامة
ندوة التنمية بين التخطيط والتنفيذ في الوطن العربي - الجزء الثاني,نبذة من الخبراء,186,1262,NULL,31,216,,NULL,الجزء الثاني التجارب القطرية العربية
ندوة التنمية بين التخطيط والتنفيذ في الوطن العربي - الجزء الثالث,نبذة من الخبراء,186,1262,NULL,31,59,,NULL,الجزء الثالث تجارب مقارنة (فرنسا والهند والمجر)
المجلس الوطني المهام والانجازات,المجدلس الوطني,45,1268,NULL,31,451,,NULL,اهداء : صفوت عباس
التنمية الوقفية والشئون الاسلامية,وزارة الاوقاف والشئون الاسلامية,24,999,NULL,37,173,,NULL,
اوضح المسالك الى احكام المناسك,عبدالعزيز المحمد السلمان,NULL,NULL,NULL,17,NULL,الاولى,NULL,
قضايا الفكر الاسلامي المعاصر,الندوة العالمية للشباب الاسلامي,NULL,NULL,NULL,17,461,الاولى,1,
حكومة الولايات المتحدة الامريكية كيف ولماذا تعمل,مجموعة من الكتاب - ترجمة د. عبداللطيف حسين فرج,52,483,NULL,17,380,الاولى,NULL,عبدالله عبداللطيف الابراهيم
